Exercise,Multiplier,Phrase
Lawn Mowing,0.033333333,mowing the lawn.
"Marching band, playing instrument, walking",0.03025641,marching in a marching band.
"Marching, rapidly, military",0.049230769,marching at military pace.
Moto-cross,0.03025641,moto-cross.
"Moving furniture, household",0.045384615,moving household furniture.
"Moving household items, boxes, upstairs",0.068076923,moving misc. household items.
"Moving household items, carrying boxes",0.052948718,carrying boxes.
Mowing Lawn,0.018055556,mowing the lawn.
"Mowing lawn, general",0.041666667,mowing the lawn.
"Mowing lawn, riding mower",0.018974359,riding a lawn mower.
"Music playing, cello, flute, horn, woodwind",0.015128205,playing  an orchestral instrument.
"Music playing, drums",0.03025641,planing the drums.
"Music playing, guitar, classical, folk, sitting",0.015128205,playing a guitar.
"Music playing, guitar, rock/roll band, standing",0.022692308,playing an electric guitar.
"Music playing, piano, organ, violin, trumpet",0.018974359,playing an instrument.
Office Work,0.010769231,doing office work.
Paddleboat,0.03025641,riding in a paddleboat.
"Painting, papering, plastering, scraping",0.034102564,painting an interior wall.
Polo,0.060512821,polo.
Power Walking,0.043076923,power walking.
Pushing or pulling stroller with child,0.018974359,pushing a stroller.
Race walking,0.049230769,race walking.
Racquetball,0.06,racquetball.
"Racquetball, casual, general",0.053229167,racquetball.
"Racquetball, competitive",0.075641026,competitive racquetball.
Raking lawn,0.03025641,raking the lawn.
"Rock climbing, ascending rock",0.083205128,rock climbing.
"Rock climbing, rapelling",0.060512821,rapelling down a cliff.
Rollerblading,0.095104167,rollerblading.
Rope jumping,0.076041667,jump rope.
"Rope jumping, fast",0.090769231,"Rope jumping, fast"
"Rope jumping, moderate, general",0.075641026,"Rope jumping, moderate, general"
"Rope jumping, slow",0.060512821,"Rope jumping, slow"
Rowing,0.043076923,rowing.
"Rowing, stationary",0.053229167,"Rowing, stationary"
"Rowing, stationary, light effort",0.052948718,"Rowing, stationary, light effort"
"Rowing, stationary, moderate effort",0.064358974,"Rowing, stationary, moderate effort"
"Rowing, stationary, very vigorous effort",0.090769231,"Rowing, stationary, very vigorous effort"
"Rowing, stationary, vigorous effort",0.071923077,"Rowing, stationary, vigorous effort"
Rugby,0.075641026,rugby.
"Running, 10 mph (6 min mile)",0.121025641,"Running, 10 mph (6 min mile)"
"Running, 10.9 mph (5.5 min mile)",0.136153846,"Running, 10.9 mph (5.5 min mile)"
"Running, 5 mph (12 min mile)",0.060512821,"Running, 5 mph (12 min mile)"
"Running, 5.2 mph (11.5 min mile)",0.068076923,"Running, 5.2 mph (11.5 min mile)"
"Running, 6 mph (10 min mile)",0.075641026,"Running, 6 mph (10 min mile)"
"Running, 6.7 mph (9 min mile)",0.083205128,"Running, 6.7 mph (9 min mile)"
"Running, 7 mph (8.5 min mile)",0.087051282,"Running, 7 mph (8.5 min mile)"
"Running, 7.5mph (8 min mile)",0.094615385,"Running, 7.5mph (8 min mile)"
"Running, 8 mph (7.5 min mile)",0.102179487,"Running, 8 mph (7.5 min mile)"
"Running, 8.6 mph (7 min mile)",0.105897436,"Running, 8.6 mph (7 min mile)"
"Running, 9 mph (6.5 min mile)",0.113461538,"Running, 9 mph (6.5 min mile)"
"Running, cross country",0.068076923,cross country.
"Running, general",0.060512821,running.
"Running, in place",0.060512821,running in place.
"Running, on a track, team practice",0.075641026,running track.
"Running, stairs, up",0.113461538,running up the stairs.
"Sailing, boat/board, windsurfing, general",0.022692308,sailing.
"Sailing, in competition",0.037820513,competitive sailing.
"Scrubbing floors, on hands and knees",0.041666667,scrubbing floors.
Sewing,0.006538462,sewing.
"Sex, active",0.037142857,crazy sex.
Shopping,0.028,shopping.
"Shoveling snow, by hand",0.045384615,shoveling snow.
